features,S00Q1-0001,S00Q1-0020,S00Q1-0028,S00Q1-0030,S00Q1-0011,DNA-3CLD,S00Q1-0027,S00Q1-0008,S00Q1-0012,S00Q1-0004,S00Q1-0025,S00Q1-0024,S00Q1-0007,DNA-3CLC,S00Q1-0018,S00Q1-0026,S00Q1-0002,S00Q1-0019,S00Q1-0022,S00Q1-0006,S00Q1-0029,S00Q1-0003,S00Q1-0023,S00Q1-0013,S00Q1-0021,S00Q1-0010,S00Q1-0014,S00Q1-0017,S00Q1-0015,S00Q1-0005,S00Q1-0016,S00Q1-0009
k__Bacteria; p__; c__; o__; f__; g__; s__,18130,21414,29276,13010,780,89,13501,13488,354,50715,22545,13869,15653,71,6561,24842,17709,29748,23029,51682,10473,40371,27849,179,9787,49119,29942,52644,40067,44765,47957,12059
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__translucida,0,0,1,1,6,0,2,0,0,0,0,0,0,0,0,0,0,3,6,1,0,1,0,0,1,23,0,0,5,0,2,1
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__; s__,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,7,0,2,7,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__Colwellia; s__psychrerythraea,0,0,13,12,0,0,4,0,0,1,0,0,0,0,0,1,0,5,22,3,0,2,13,0,1,17,27,1,11,4,21,3
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__sp. OT37-5b,0,0,17,0,0,0,0,9,0,2,1,2,34,0,6,0,0,0,0,14,0,0,20,0,0,15,0,15,0,24,2,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__abyssalis,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0,1,0,1,3,5,0,2,5,0,1,0,1,0,3,1,6,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__piscisalsi,0,0,1,3,0,0,11,0,0,6,3,0,0,0,0,4,1,0,68,11,0,0,2,0,0,7,1,0,18,0,6,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Moritellaceae; g__Moritella; s__sp. 24,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,2,3,0,0,16,1,0,3,1,3,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__sp. WP2-W18-CRE-05,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__sp. FDAARGOS 1405,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,5,0,0,3,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__sp. ASNIH3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,1,0,0,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__rivipollensis,0,0,18,0,0,0,2,0,1,1,3,0,0,0,0,0,0,0,2,2,0,1,7,0,0,2,7,0,10,7,4,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__allosaccharophila,0,0,8,0,0,0,0,1,0,0,2,2,0,0,0,0,0,6,1,2,0,0,0,0,0,4,7,2,1,10,0,5
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__sanarellii,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,2,0,6,6,1,3,0,0,4,5,0,21,4,18,3
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__sp. J383,0,0,4,0,0,0,36,1,0,10,0,0,0,0,0,0,0,0,34,5,0,0,0,0,0,0,0,0,8,0,47,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__sp. ED002,0,0,1,0,0,0,4,4,0,0,1,6,6,0,8,0,0,0,0,2,1,2,4,0,0,3,0,32,0,1,3,2
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__navarrensis,0,0,15,0,0,1,3,3,0,2,14,6,30,0,11,0,2,2,7,17,16,3,14,0,0,7,12,34,18,12,11,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__anguillarum,0,0,12,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,7,8,0,0,5,0,0,10,8,0,10,10,16,8
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__metschnikovii,0,0,11,3,0,0,2,1,0,1,0,1,2,0,0,0,7,5,4,40,0,1,9,0,0,34,3,19,9,26,11,5
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__mediterranei,0,0,2,1,0,0,4,0,0,7,4,0,0,0,2,0,0,0,1,13,0,6,14,0,0,7,1,1,17,30,11,3
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Photobacterium; s__profundum,0,0,1,4,0,0,1,4,0,3,9,8,9,0,1,0,3,1,6,2,1,0,3,0,0,8,3,13,7,1,12,4
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Salinivibrio; s__,0,0,17,0,0,0,0,0,0,3,2,0,6,0,0,0,0,0,0,14,0,2,10,0,0,4,4,2,0,22,4,3
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Aliivibrio; s__salmonicida,0,0,6,1,0,0,1,0,0,0,3,0,0,0,2,2,0,1,0,5,0,4,2,0,0,21,2,6,1,2,7,1
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__; g__; s__,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Beggiatoa; s__leptomitoformis,0,0,6,1,0,0,2,0,0,6,5,2,2,1,0,0,2,0,5,2,2,2,11,0,0,5,1,8,15,16,19,4
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Thiomicrorhabdus; s__sp. Am19,0,0,4,2,1,0,2,0,0,0,0,1,0,0,0,0,1,10,1,28,0,3,8,0,0,7,1,4,6,3,8,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Thiosulfativibrio; s__zosterae,0,0,6,0,0,0,4,1,0,1,1,0,0,0,1,0,0,0,5,11,0,0,0,0,0,10,4,0,15,3,11,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Cycloclasticus; s__,0,0,2,0,0,1,3,0,0,2,0,0,0,0,1,0,1,0,0,5,1,2,2,0,1,0,1,0,11,2,15,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__; s__,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,3,0,3,2,14,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__adeliensis,0,0,6,0,0,0,0,0,0,3,6,0,1,0,0,2,0,0,1,6,0,2,0,0,0,5,1,0,0,0,5,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__salina,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,6,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__hispaniensis,0,0,4,0,0,0,1,0,0,1,14,0,0,0,0,0,0,7,6,3,0,1,7,0,0,13,5,0,10,6,11,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__persica,0,0,1,0,0,0,2,0,0,6,0,0,0,0,0,1,0,2,11,17,0,1,0,0,0,6,3,4,2,0,10,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__orientalis,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,5,2
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__uliginis,0,0,1,0,0,1,1,0,1,2,5,1,2,0,4,1,0,5,26,10,0,2,0,0,0,5,10,5,3,6,4,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__noatunensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__marina,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,9,3,0,0,0,0,0,2,2,13,5,0,5,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. WCHAc010052,0,0,20,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,11,0,0,1,2,7,6,0,12,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. ASP199,0,0,3,3,0,0,0,0,0,0,30,0,1,0,7,0,0,0,0,2,0,0,11,0,0,0,3,2,0,0,1,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. F9,0,0,3,1,0,0,2,0,0,6,0,0,0,0,0,4,1,0,7,4,0,0,1,1,0,5,2,0,3,10,8,1
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. C16S1,0,0,3,0,0,0,61,0,0,7,1,0,0,0,0,0,0,0,97,12,0,3,0,0,0,0,0,0,217,2,78,2
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. YH12138,0,0,3,1,0,0,3,0,0,7,5,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,2,0,7,2,3,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. SCLZS86,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. YH16040_T,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. XS-4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,1,0,2,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__sp. TTH0-4,0,0,1,1,0,1,2,0,0,1,8,0,2,0,0,1,0,1,4,6,0,0,9,0,2,4,3,7,9,4,7,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__lactucae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__dispersus,0,0,5,0,0,0,2,1,0,3,17,0,0,0,0,1,0,1,7,9,0,0,0,0,1,5,17,1,2,1,3,2
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__baylyi,0,0,4,1,0,0,0,0,0,1,1,5,0,0,0,0,0,6,0,0,1,0,0,0,0,3,0,15,2,0,4,1
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__gyllenbergii,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,5,5,2,0,1,0,0,10,1,2,4,1,9,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__equi,0,0,1,2,0,0,14,2,1,1,3,6,2,0,2,0,1,3,2,10,6,0,3,0,1,16,2,10,35,10,9,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Psychrobacter; s__sp. WY6,0,0,6,0,0,0,1,0,0,9,0,0,3,0,0,0,0,0,9,18,0,0,0,0,0,14,2,40,9,0,31,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Psychrobacter; s__sp. KH172YL61,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__sp. S3L5C,0,0,5,2,0,0,8,0,0,2,10,5,6,0,0,0,0,0,1,13,0,8,2,0,0,20,9,0,6,1,22,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__; g__; s__,0,0,6,2,0,0,2,4,0,6,0,0,2,0,3,8,2,7,1,58,2,31,19,0,2,0,18,9,3,54,11,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Cellvibrio; s__japonicus,0,0,19,3,0,1,9,0,0,28,7,1,4,0,1,2,1,0,51,55,1,0,3,0,0,4,2,9,13,1,63,3
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Teredinibacter; s__purpureus,0,0,13,5,0,0,17,0,1,9,3,2,1,0,0,3,2,1,2,8,0,0,3,0,0,7,5,3,30,6,40,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Spongiibacteraceae; g__Spongiibacter; s__taiwanensis,0,0,22,9,0,0,5,7,0,27,10,0,0,0,0,0,1,2,24,42,1,5,15,0,1,10,4,12,14,23,42,2
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__oakridgensis,0,0,7,1,0,0,1,1,0,3,5,2,3,0,1,0,0,0,0,8,0,0,1,0,0,2,7,7,2,3,3,6
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__israelensis,0,0,3,5,0,0,7,6,0,2,6,0,5,0,9,3,1,2,4,15,0,7,10,0,3,8,14,13,7,6,28,1
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__waltersii,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,2,0,0,1,4,1,4,0,1,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__adelaidensis,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,2,1,0,0,0,1,0,18,1,0,0,6,3,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__sainthelensi,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,7,1,0,4,2,1,1,2,0,0,4,3,1,2,2,28,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Rickettsiella; s__endosymbiont of Dermanyssus gallinae,0,0,2,1,0,0,2,0,0,2,8,0,0,0,0,17,2,1,4,20,0,5,3,0,0,19,6,2,0,0,17,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__Bathymodiolus septemdierum thioautotrophic gill symbiont,0,0,33,0,0,0,1,5,0,9,1,0,14,0,0,0,0,2,3,59,2,0,29,0,0,77,182,20,9,125,34,6
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__Candidatus Ruthia; s__endofausta,0,0,19,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,0,0,1,138,0,1,58,3,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__Bathymodiolus thermophilus thioautotrophic gill symbiont,0,0,6,1,0,0,2,1,0,3,7,1,0,0,0,0,0,3,4,38,0,0,11,0,0,33,78,1,20,12,28,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__Ignatzschineria; s__sp. HR5S32,0,0,6,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,2,8,0,1,4,0,3,6,2,3,1,5,10,3
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__Candidatus Thioglobus; s__autotrophicus,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,4,16,0,0,0,0,0,13,2,5,3,0,1,0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__Candidatus Azoamicus; s__ciliaticola,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Vitreoscilla; s__stercoraria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Vitreoscilla; s__sp. C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Chromobacteriaceae; g__Chromobacterium; s__sp. Beijing,0,0,1,1,0,0,13,2,0,3,2,3,16,0,4,3,0,2,8,1,2,11,0,0,0,1,0,17,10,3,27,10
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Chromobacteriaceae; g__Iodobacter; s__,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,1,0,1,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Chromobacteriaceae; g__Iodobacter; s__fluviatilis,0,0,10,2,0,0,0,0,0,4,2,0,0,0,0,3,1,9,22,6,0,2,1,0,0,10,0,5,22,3,26,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__arboris,0,0,62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,3,37,0,0,4,42,0,3,80,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__metallica,0,0,17,4,0,0,7,0,1,3,10,2,4,0,0,3,0,10,3,9,2,2,53,0,1,3,3,4,17,24,13,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__pseudomultivorans,0,0,1,2,0,0,3,4,0,171,0,2,0,0,0,0,0,0,5,32,0,1,1,0,0,6,0,19,29,2,35,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__sp. MSMB1588,0,0,5,3,0,0,9,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,8,0,0,1,1,1,8,5,7,24
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__nantongensis,0,0,5,0,0,0,2,1,0,1,4,0,18,0,4,4,0,1,1,10,5,1,3,0,0,7,5,8,8,10,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. JS-JIR-II-b4,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,2,3,0,17,41,0,0,8,2,0,1,27,17,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. MWH-Aus1W21,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,2,0,10,0,2,0,2,2,0,0,2,1,0,6,4,4,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. AP-Jannik-300A-C4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,1,0,8,0,9,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. MWH-S4W17,0,0,3,0,0,1,5,0,0,478,0,0,0,0,0,0,2,0,12,62,0,1,0,0,0,0,2,0,13,1,94,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. JS-Mosq-20-D10,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. AP-Sving-400A-A2,0,0,2,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,2,10,0,0,3,0,0,2,0,0,16,26,2,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. MG-Unter2-18,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,7,0,0,2,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. AM-7D1,0,0,1,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,4,12,0,0,2,0,0,3,0,0,4,0,4,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__difficilis,0,0,10,7,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,0,0,0,2,8,0,0,0,6,24
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__tropicus,0,0,2,2,0,0,1,0,0,1,4,0,0,0,0,0,1,0,1,8,0,6,5,0,1,2,0,1,0,3,4,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__syzygii,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,3,7,0,0,6,0,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__sp. SBC1,0,0,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,7,2,9,4,3,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Mycoavidus; s__,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Mycoavidus; s__cysteinexigens,0,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,7,3,0,7,0,0,2,0,0,4,1,18,0,1,5,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. PMC12,0,0,5,0,0,0,0,15,0,0,0,8,48,0,5,0,0,0,0,0,1,0,0,0,0,0,0,49,0,0,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Melaminivora; s__,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,20,0,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Polaromonas; s__sp. W10N,0,0,8,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,16,0,0,0,3,0,0,25,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__sp. MNS-0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,1,10,0,1,0,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Alcaligenes; s__ammonioxydans,0,0,14,0,0,0,0,0,0,155,0,0,0,0,0,0,0,1,3,32,0,0,7,0,0,0,5,0,11,1,37,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Alcaligenes; s__sp. SORT26,0,0,8,14,1,0,13,0,0,5,1,0,4,0,2,1,2,0,8,6,0,9,27,0,1,11,0,9,35,9,14,8
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__sp. Dwa41.01b,0,0,9,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,12,0,13,3,1,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__sp. Se16.2.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,2,0,0
